pair_id,style,query,_ov_side,_ov_count,_ov_rank,_zero_rank,_ov_item,_zero_item
L001,philosophical,The border between chance and fate,2,1,6,1,music:6Rr2l2xA1JuxYDhzx6lEJx,book:bx_1551520826
L002,direct,A film about a romance between two people,2,2,8,1,movie:82764,book:bx_0688168914
L003,direct,Nonfiction about space exploration,1,1,2,1,movie:79936,movie:2321379
L004,atmosphere,Fluorescent glow of a late-night convenience store,1,2,1,1,movie:409799,music:6Ubz7S4IFSWVxlkMiRyMIK
L005,atmosphere,A damp basement bookshop during the rainy season,1,1,5,1,book:gr_35512560-the-diary-of-a-bookseller,book:gr_1006065.Nog_drie_keer_slapen_en_ik_word_wakker
L006,poet,Winter breath fogging a windowpane,2,1,6,1,movie:816562,music:4hGXwJZJASH1U7JGKnhJEg
L007,direct,A coming-of-age film set in the 1980s,2,3,10,1,book:kdl_B07D6MPHN9,movie:84234
L008,direct,A film about a romance between two people,1,2,5,1,movie:117365,music:3gtSCifHWtbRxX0GFLBpcH
L009,direct,Soulful music featuring jazz piano,2,3,10,3,movie:2674040,movie:43053
L010,philosophical,Meaning inside a repeating daily life,1,1,1,2,movie:196499,music:3J36VgHD5KvlNR7NinNph5
L011,atmosphere,An open window on a summer night,2,1,4,1,movie:1285144,book:bx_0345461029
L012,direct,Rock music with a heavy guitar riff,1,3,2,9,movie:109068,movie:1519402
L013,poet,In the name of love,1,1,2,1,music:4RMIDsxooqjhLIkxhlWzLa,book:gr_11103340-the-epic-love-story-of-doug-and-stephen
L014,poet,The smell rising from an old letter,2,2,1,1,book:gr_18160436-the-letter,music:7Km4W3atUNjhf05szq2Gkb
L015,philosophical,Choosing between being right and being kind,2,1,6,1,book:kdl_B01MSQVP3H,book:gr_18373291-congratulations-by-the-way
L016,philosophical,Reflection on solitude and existence,1,1,8,1,music:5IafdoRLyaGPeeA6f8ysIe,book:bx_2070382885
L017,direct,A novel about a family secret,1,2,3,2,book:kdl_B0C5RBLZ4K,music:5q39B87pigCYl80puT66OK
L018,philosophical,Choosing between being right and being kind,2,1,2,1,book:kdl_B07MTBJKBM,movie:1935065
L019,philosophical,Between freedom and responsibility,1,1,6,1,music:26wJ64Pgts69F81vy1FHyu,music:6rflUzDPobmzz8X8IAzuGA
L020,atmosphere,An open window on a summer night,1,2,3,1,music:41o2ydrj7Xm9Yt5odIBqq4,movie:2233983
L021,atmosphere,A worn motel room by the sea,2,2,10,1,music:3nIyoRAlIrtefqiH3ObLk8,book:gr_15793282-the-perfect-ghost
L022,atmosphere,A highway rest stop at sunset,1,1,5,1,music:066HNnIEcYkMZ4UumfTLmN,movie:428196
L023,atmosphere,A worn motel room by the sea,1,2,9,1,movie:452702,music:1ElcOLwh7Og4UOm6WTyeXH
L024,philosophical,The weight of a life facing its end,2,1,1,2,movie:2094949,movie:1715802
L025,philosophical,Meaning inside a repeating daily life,1,2,6,1,music:1yCrLCtLupqZCXRKaNBWut,book:gr_39872.Encyclopedia_of_an_Ordinary_Life
L026,poet,A season that passed without being spoken,1,1,4,1,movie:1431181,music:61HBuVsspScrGUobbfmhOT
L027,philosophical,A journey to find the meaning of life,1,2,1,2,movie:210777,music:6Vjk8MNXpQpi0F4BefdTyq
L028,atmosphere,A country train station on a snowy night,1,2,1,2,music:71cWHhV018hztNkCC45Ayo,movie:436396
L029,poet,In the name of love,1,1,1,1,movie:61927,music:3gtSCifHWtbRxX0GFLBpcH
L030,poet,The smell rising from an old letter,2,2,8,2,movie:166252,movie:90570
L031,atmosphere,In front of a warm fireplace in midwinter,1,1,9,1,book:bx_1858137942,book:gr_3268926-the-christmas-sweater
L032,philosophical,What is a human being,1,1,1,2,music:2z9G4b9QjlwlCx2Pkwl6Lc,music:2jOdqw7a9uV1s256FXXR4W
L033,philosophical,A journey to find the meaning of life,2,4,2,2,book:bx_0449200906,movie:83318
L034,philosophical,How much of me is made of memory,1,1,2,1,movie:2402602,movie:1462017
L035,poet,Winter breath fogging a windowpane,1,1,2,1,book:bx_0312284535,movie:1942839
L036,atmosphere,A highway rest stop at sunset,1,1,6,1,movie:165832,book:kdl_B0846RQ4Q5
L037,philosophical,The limits of understanding another person,1,1,10,1,book:gr_41777.Mike_Nelson_s_Mind_over_Matters,movie:275584
L038,direct,A courtroom drama based on a true story,2,3,1,2,movie:1891974,movie:113500
L039,direct,A calm solo piano piece,1,2,8,1,book:kdl_B083JQNQSB,movie:2219650
L040,direct,Action movie set in space,1,3,3,1,movie:30138,book:kdl_1953713726
L041,atmosphere,A damp basement bookshop during the rainy season,2,1,4,1,book:gr_319388.The_Bookshop,movie:2315226
L042,atmosphere,Empty city streets at dawn,2,2,5,1,movie:3505712,book:bx_014004311X
L043,direct,Nonfiction about space exploration,2,1,3,1,movie:867271,book:kdl_B08P92G3MJ
L044,direct,Rock music with a heavy guitar riff,1,3,1,3,book:kdl_B0BVY3RHBH,music:1CnU1qewM7glU79O4VSlWX
L045,atmosphere,A country train station on a snowy night,1,3,3,1,movie:266861,movie:386346
L046,atmosphere,Fluorescent glow of a late-night convenience store,2,2,5,1,movie:460740,book:gr_6011752-bezsenno-w-tokio
L047,poet,What remains after farewell,2,1,1,1,music:1MbqOV4uT2Rrxxyk1ZvCTT,movie:112606
L048,poet,Like the excitement of a spring day,2,1,1,2,book:bx_0307131483,movie:50135
L049,poet,Time slipping away like sand,2,2,9,1,book:gr_797498.The_Last_Three_Minutes,movie:1190710
L050,poet,A heart cooling like forgotten coffee,2,1,2,1,book:gr_681545.Bread_Alone,movie:1436572
L051,direct,Mystery thriller novel with a twist ending,2,2,1,1,book:kdl_B003GYEGMU,movie:1935201
L052,direct,A coming-of-age film set in the 1980s,2,2,2,1,movie:88847,music:5ttys6S3vGWCgOpiuB5axN
L053,philosophical,How much of me is made of memory,1,1,2,1,book:kdl_B002PQ7B5O,book:gr_6523904-autoportret-ntr-o-oglind-spart
L054,direct,A novel about a family secret,1,2,1,1,movie:4743250,music:5Sgozi87WjzpSxQnzKO8J7
L055,direct,Mystery thriller novel with a twist ending,1,2,3,1,movie:118150,music:2BstRQGodshjGpeDGQiNgo
L056,poet,A heart cooling like forgotten coffee,1,1,6,1,book:bx_0060084405,book:gr_9667161-il-ristorante-dell-amore-ritrovato
L057,poet,Warmth left in a room after the lights go out,1,1,4,1,movie:368709,book:gr_25060195-reaching-you
L058,atmosphere,In front of a warm fireplace in midwinter,2,1,4,1,music:4uQqahi1iUP35xE2qGdKdo,movie:23215
L059,poet,A season that passed without being spoken,1,1,1,1,movie:1196334,book:bx_031211379X
L060,philosophical,Between freedom and responsibility,1,1,1,1,book:gr_34758995-unscripted,movie:44562
