LLM 관련성 판정 리포트 (Qwen/Qwen2.5-VL-7B-Instruct)
====================================================================

## 0. 판정기 신뢰도 (6월 사람/Claude 라벨 대비)
  완전일치 42.5% / 인접일치(±1등급) 92.5% / 대상 318행
  ※ 완전일치가 낮으면 이하 절대값보다 실행 간 '차이'만 보아야 한다.

## 1. 실행별 종합
  실행                  행     avg    ±SE      o율      a율      x율
  2026-06           318   0.698  0.031    4.4%   61.0%   34.6%
  base            1,600   0.754  0.014    5.8%   63.7%   30.4%
  dropout03       1,600   0.754  0.014    6.1%   63.3%   30.6%

  [6월과 공통인 쿼리(pair_id 1~4)로 한정]
  2026-06           318   0.698  0.031
  base              640   0.847  0.021
  dropout03         640   0.848  0.022

## 2. 스타일별 avg_score (핵심 — poet이 6월 최하였다)
  스타일                    2026-06          base     dropout03       변화    SE배수
  atmosphere               0.675         0.635         0.677   +0.042     1.0
  direct                   0.600         0.875         0.833   -0.042     0.9
  philosophical            0.887         0.795         0.800   +0.005     0.2
  poet                     0.628         0.710         0.708   -0.002     0.1
  ※ SE배수 2 이상이면 유의, 1 미만이면 노이즈로 본다 (마지막 두 실행 기준)

## 3. 도메인별 avg_score
  도메인                2026-06      base dropout03       변화
  all                  0.722     0.802     0.812   +0.091
  book                 0.671     0.632     0.635   -0.036
  movie                0.787     0.828     0.833   +0.045
  music                0.613     0.752     0.738   +0.125

## 4. 쿼리별 (신규 실행 기준 오름차순 = 개선 우선순위)
  atmosphere           -    0.33    0.28  Fluorescent glow of a late-night convenience sto
  direct               -    0.45    0.42  A calm solo piano piece
  atmosphere           -    0.53    0.45  An open window on a summer night
  poet                 -    0.60    0.45  Winter breath fogging a windowpane
  poet                 -    0.55    0.47  Warmth left in a room after the lights go out
  atmosphere           -    0.50    0.53  A damp basement bookshop during the rainy season
  atmosphere           -    0.45    0.55  A worn motel room by the sea
  direct            0.95    0.60    0.55  Mystery thriller novel with a twist ending
  philosophical     0.70    0.50    0.57  What is a human being
  atmosphere        0.30    0.62    0.57  Empty city streets at dawn
  atmosphere           -    0.53    0.60  A country train station on a snowy night
  poet                 -    0.65    0.65  A heart cooling like forgotten coffee
  poet              0.50    0.72    0.65  What remains after farewell
  poet              0.25    0.60    0.65  A voice whispering under moonlight
  direct               -    1.02    0.70  A novel about a family secret
  direct               -    0.80    0.70  A coming-of-age film set in the 1980s
  poet                 -    0.70    0.70  The smell rising from an old letter
  poet                 -    0.57    0.75  A season that passed without being spoken
  philosophical     0.90    0.88    0.75  Reflection on solitude and existence
  atmosphere        0.75    0.68    0.75  A sunlit cafe
  philosophical        -    0.75    0.75  How much of me is made of memory
  philosophical        -    0.70    0.75  The limits of understanding another person
  philosophical        -    0.72    0.78  Meaning inside a repeating daily life
  philosophical        -    0.75    0.80  The border between chance and fate
  atmosphere           -    0.62    0.80  A highway rest stop at sunset
  direct               -    0.65    0.80  A courtroom drama based on a true story
  philosophical        -    0.88    0.82  Choosing between being right and being kind
  direct               -    0.62    0.85  Nonfiction about space exploration
  philosophical     1.00    0.88    0.85  Between freedom and responsibility
  poet                 -    0.90    0.88  Time slipping away like sand
  poet              0.83    0.90    0.90  Like the excitement of a spring day
  philosophical     0.95    0.97    0.95  A journey to find the meaning of life
  atmosphere        0.60    0.90    0.95  In front of a warm fireplace in midwinter
  direct            0.50    1.18    0.97  A film about a romance between two people
  philosophical        -    0.93    0.97  The weight of a life facing its end
  poet              0.95    0.90    0.97  In the name of love
  direct            0.90    0.97    1.07  Soulful music featuring jazz piano
  direct            0.05    1.05    1.10  Action movie set in space
  direct               -    1.40    1.15  Rock music with a heavy guitar riff
  atmosphere        1.05    1.20    1.30  A quiet afternoon with the sound of rain
