LLM 관련성 판정 리포트 (Qwen/Qwen2.5-VL-7B-Instruct)
====================================================================

## 0. 판정기 신뢰도 (6월 사람/Claude 라벨 대비)
  완전일치 55.7% / 인접일치(±1등급) 83.0% / 대상 318행
  ※ 완전일치가 낮으면 이하 절대값보다 실행 간 '차이'만 보아야 한다.

## 1. 실행별 종합
  실행              행     avg      o율      a율      x율
  2026-06       318   0.981   48.7%    0.6%   50.6%
  2026-08       320   0.831   41.2%    0.6%   58.1%

## 2. 스타일별 avg_score (핵심 — poet이 6월 최하였다)
  스타일                2026-06   2026-08       변화
  atmosphere           0.800     0.750   -0.050
  direct               0.950     1.200   +0.250
  philosophical        1.375     0.900   -0.475
  poet                 0.795     0.475   -0.320

## 3. 도메인별 avg_score
  도메인                2026-06   2026-08       변화
  all                  1.076     1.012   -0.063
  book                 1.051     0.688   -0.363
  movie                1.100     0.850   -0.250
  music                0.700     0.775   +0.075

## 4. 쿼리별 (신규 실행 기준 오름차순 = 개선 우선순위)
  poet              0.30    0.00  A voice whispering under moonlight
  atmosphere        0.80    0.30  In front of a warm fireplace in midwinter
  poet              1.00    0.30  Like the excitement of a spring day
  direct            1.30    0.50  Mystery thriller novel with a twist ending
  poet              1.60    0.70  In the name of love
  philosophical     0.80    0.70  What is a human being
  atmosphere        0.00    0.70  Empty city streets at dawn
  atmosphere        0.90    0.70  A sunlit cafe
  philosophical     1.80    0.90  Between freedom and responsibility
  poet              0.30    0.90  What remains after farewell
  philosophical     1.30    1.00  Reflection on solitude and existence
  direct            0.10    1.00  Action movie set in space
  philosophical     1.60    1.00  A journey to find the meaning of life
  atmosphere        1.50    1.30  A quiet afternoon with the sound of rain
  direct            1.40    1.30  Soulful music featuring jazz piano
  direct            1.00    2.00  A film about a romance between two people
