query_id,style,pair_id,lang,query,domain_filter,result_domain,item_id,title,extra,score,rank,Validity,run_label,judge_key,grade,value
P1_EN,philosophical,1,en,What is a human being,movie,movie,1741225,I Am (2010),,0.622235894203186,1,o,2026-06,movie|1741225|What is a human being,x,0.0
P1_EN,philosophical,1,en,What is a human being,movie,movie,3327994,Human (2015),,0.57940810918808,2,o,2026-06,movie|3327994|What is a human being,o,2.0
P1_EN,philosophical,1,en,What is a human being,movie,movie,1817287,Is the Man Who Is Tall Happy? (2013),,0.518111348152161,3,o,2026-06,movie|1817287|What is a human being,x,0.0
P1_EN,philosophical,1,en,What is a human being,movie,movie,432232,The Century of the Self,,0.512364029884338,4,o,2026-06,movie|432232|What is a human being,x,0.0
P1_EN,philosophical,1,en,What is a human being,movie,movie,3326110,Un altro mondo (2014),,0.509719252586365,5,o,2026-06,movie|3326110|What is a human being,a,1.0
P1_EN,philosophical,1,en,What is a human being,music,music,45PxuJqJBnPXZKLxoo9Apj,SUPERPOSITION,,0.447211563587189,1,o,2026-06,music|45PxuJqJBnPXZKLxoo9Apj|What is a human being,a,1.0
P1_EN,philosophical,1,en,What is a human being,music,music,6ghnKwHcGX1RLPWjJYKbGd,From God's Perspective,,0.442960619926453,2,o,2026-06,music|6ghnKwHcGX1RLPWjJYKbGd|What is a human being,x,0.0
P1_EN,philosophical,1,en,What is a human being,music,music,2PyDqCtFcXsucZqTF4rE3i,I Am That I Am,,0.432952702045441,3,o,2026-06,music|2PyDqCtFcXsucZqTF4rE3i|What is a human being,a,1.0
P1_EN,philosophical,1,en,What is a human being,music,music,4QVD4vVkYveZuO0xkyi6AX,Same Direction,,0.416099846363068,4,o,2026-06,music|4QVD4vVkYveZuO0xkyi6AX|What is a human being,x,0.0
P1_EN,philosophical,1,en,What is a human being,music,music,5KqdkuWE9AkTtoAiPpdD0E,ART IS DEAD,,0.397749722003937,5,a,2026-06,music|5KqdkuWE9AkTtoAiPpdD0E|What is a human being,x,0.0
P1_EN,philosophical,1,en,What is a human being,book,book,B0064SUUG6,El hombre en busca del sentido último: El análisis existencial y la conciencia espiritual del ser humano (Contextos) (Spanish Edition),,0.632216095924377,1,o,2026-06,book|B0064SUUG6|What is a human being,a,1.0
P1_EN,philosophical,1,en,What is a human being,book,book,B08H87G2WN,Existentialism Is a Humanism,,0.61239093542099,2,o,2026-06,book|B08H87G2WN|What is a human being,o,2.0
P1_EN,philosophical,1,en,What is a human being,book,book,B099GSW9DM,Dignos de ser humanos: Una nueva perspectiva histórica de la humanidad (Spanish Edition),,0.607953906059265,3,o,2026-06,book|B099GSW9DM|What is a human being,a,1.0
P1_EN,philosophical,1,en,What is a human being,book,book,B0BLQW96HJ,"I Feel, Therefore I Am: The Triumph of Woke Subjectivism",,0.602863073348999,4,o,2026-06,book|B0BLQW96HJ|What is a human being,x,0.0
P1_EN,philosophical,1,en,What is a human being,book,book,B0B42LB3YT,Sobre la dignidad humana (Estructuras y Procesos. Derecho) (Spanish Edition),,0.595093846321106,5,o,2026-06,book|B0B42LB3YT|What is a human being,a,1.0
P1_EN,philosophical,1,en,What is a human being,all,book,B0064SUUG6,El hombre en busca del sentido último: El análisis existencial y la conciencia espiritual del ser humano (Contextos) (Spanish Edition),,0.632216095924377,1,o,2026-06,book|B0064SUUG6|What is a human being,a,1.0
P1_EN,philosophical,1,en,What is a human being,all,movie,1741225,I Am (2010),,0.622235894203186,2,o,2026-06,movie|1741225|What is a human being,x,0.0
P1_EN,philosophical,1,en,What is a human being,all,book,B08H87G2WN,Existentialism Is a Humanism,,0.61239093542099,3,o,2026-06,book|B08H87G2WN|What is a human being,o,2.0
P1_EN,philosophical,1,en,What is a human being,all,book,B099GSW9DM,Dignos de ser humanos: Una nueva perspectiva histórica de la humanidad (Spanish Edition),,0.607953906059265,4,o,2026-06,book|B099GSW9DM|What is a human being,a,1.0
P1_EN,philosophical,1,en,What is a human being,all,book,B0BLQW96HJ,"I Feel, Therefore I Am: The Triumph of Woke Subjectivism",,0.602863073348999,5,o,2026-06,book|B0BLQW96HJ|What is a human being,x,0.0
P2_EN,philosophical,2,en,A journey to find the meaning of life,movie,movie,1441912,The Way (2010),,0.565081894397736,1,o,2026-06,movie|1441912|A journey to find the meaning of life,a,1.0
P2_EN,philosophical,2,en,A journey to find the meaning of life,movie,movie,2406422,Walking the Camino: Six Ways to Santiago (2013),,0.514647841453552,2,o,2026-06,movie|2406422|A journey to find the meaning of life,a,1.0
P2_EN,philosophical,2,en,A journey to find the meaning of life,movie,movie,210777,The Journey (2001),,0.470585227012634,3,o,2026-06,movie|210777|A journey to find the meaning of life,a,1.0
P2_EN,philosophical,2,en,A journey to find the meaning of life,movie,movie,1196672,The Nature of Existence (2010),,0.462405413389206,4,o,2026-06,movie|1196672|A journey to find the meaning of life,a,1.0
